01 Time,02 Resistance,03 Current,04 Voltage,05 Sample Temperature,06 Heater Temperature,07 CJ Temperature
35127.00070309639,477.8470182025941,9.185087037621997e-07,0.00043890664528589696,292.37,292.78,0.0
35136.083888053894,480.9702666957691,9.125442375079729e-07,0.00043890664528589696,292.39,292.78,0.0
35145.16507101059,484.7915144079202,9.065802260010969e-07,0.0004395024006953463,292.39,292.82,0.0
35154.25152301788,487.34029967558286,9.0061575974687e-07,0.0004389063542475924,292.39,292.78,0.0
35163.33368015289,487.34029967558286,9.0061575974687e-07,0.0004389063542475924,292.39,292.8,0.0
35172.41601514816,474.7638724751745,9.244729426427511e-07,0.0004389063542475924,292.39,292.8,0.0
35181.5003361702,495.86809727851465,8.827225883578649e-07,0.00043771397031378,292.39,292.82,0.0
35190.58236908913,490.5884948836245,8.946515208663186e-07,0.0004389057430671528,292.39,292.82,0.0
35199.66482615471,492.5400545019083,8.886870546120917e-07,0.00043771397031378,292.39,292.8,0.0
35208.74815106392,482.81891391436704,9.065799986274214e-07,0.00043771397031378,292.39,292.82,0.0
35217.830468177795,487.33997652078415,9.0061575974687e-07,0.0004389060632092878,292.39,292.82,0.0
35226.91427516937,486.67792289171103,9.006155323731946e-07,0.0004383096966193989,292.41,292.8,0.0
35235.99794006348,477.1974560134507,9.185087037621997e-07,0.0004383100167615339,292.41,292.82,0.0
35245.08002901077,482.1610937652442,9.065799986274214e-07,0.0004371176037238911,292.41,292.82,0.0
35254.163216114044,475.4091270860203,9.244731700164266e-07,0.00043950298277195543,292.39,292.82,0.0
35263.24677205086,495.8682992569269,8.827228157315403e-07,0.0004377142613520846,292.41,292.82,0.0
35272.32834601402,482.27648637207284,9.125444648816483e-07,0.00044009873818140477,292.41,292.84,0.0
35281.41178917885,484.79163599545643,9.065799986274214e-07,0.0004395024006953463,292.41,292.82,0.0
35290.49472308159,479.66348840749754,9.125444648816483e-07,0.0004377142613520846,292.41,292.82,0.0
35299.57803416252,485.35483659223166,9.0061575974687e-07,0.00043711821490433067,292.41,292.84,0.0
35308.66010117531,489.9229449421928,8.946515208663186e-07,0.0004383103077998385,292.41,292.84,0.0
35317.74441409111,486.0166576200154,9.0061575974687e-07,0.0004377142613520846,292.41,292.82,0.0
35326.824580192566,481.6233166135656,9.125444648816483e-07,0.00043950269173365086,292.41,292.84,0.0
35335.90978908539,481.62299768301943,9.125444648816483e-07,0.0004395024006953463,292.43,292.84,0.0
35344.99198102951,492.58767718550604,8.946512934926432e-07,0.00044069420255254954,292.43,292.84,0.0
35354.07503700256,482.8179187250341,9.065799986274214e-07,0.00043771306809503585,292.43,292.82,0.0
35363.15958118439,469.79765485115615,9.30437408896978e-07,0.0004371173126855865,292.43,292.82,0.0
35372.241991996765,479.009449316442,9.125442375079729e-07,0.0004371173126855865,292.41,292.84,0.0
35381.32410812378,489.25651088591354,8.946512934926432e-07,0.00043771397031378,292.43,292.84,0.0
35390.40827512741,479.01011907075576,9.125442375079729e-07,0.0004371179238660261,292.43,292.86,0.0
35399.491334199905,471.7207638998687,9.30437408896978e-07,0.00043890664528589696,292.43,292.84,0.0
35408.574545145035,479.14550886167194,9.185087037621997e-07,0.0004400993202580139,292.43,292.84,0.0
35417.65709114075,475.2506706036473,9.185087037621997e-07,0.0004365218774182722,292.43,292.86,0.0
35426.7402780056,477.8470182025941,9.185087037621997e-07,0.00043890664528589696,292.45,292.86,0.0
35435.82073903084,468.71611103408435,9.364018751512049e-07,0.00043890664528589696,292.45,292.86,0.0
35444.904925107956,484.13449000684943,9.065799986274214e-07,0.00043890664528589696,292.43,292.84,0.0
35453.989089012146,474.7640705225639,9.244731700164266e-07,0.00043890664528589696,292.43,292.84,0.0
35463.071528196335,482.81856078266827,9.065799986274214e-07,0.000437713650171645,292.45,292.84,0.0
35472.15459108353,491.86898971392253,8.886870546120917e-07,0.0004371176037238911,292.43,292.86,0.0
35481.23678302765,476.05323920355664,9.244731700164266e-07,0.0004400984471431002,292.45,292.86,0.0
35490.32124018669,487.3406228303816,9.0061575974687e-07,0.00043890664528589696,292.45,292.86,0.0
35499.402556180954,488.6649111955465,9.0061575974687e-07,0.0004400993202580139,292.45,292.86,0.0
35508.485745191574,489.25716150433146,8.946512934926432e-07,0.00043771455239038914,292.45,292.86,0.0
35517.57006120682,491.9227451624233,8.946512934926432e-07,0.0004400993202580139,292.45,292.86,0.0
35526.65249919891,491.86967744807646,8.886870546120917e-07,0.00043711821490433067,292.45,292.86,0.0
35535.73455905914,483.47670196060824,9.065799986274214e-07,0.0004383103077998385,292.45,292.86,0.0
35544.81762814522,490.58885272366336,8.946515208663186e-07,0.0004389060632092878,292.47,292.88,0.0
35553.901024103165,491.1989729017904,8.886870546120917e-07,0.00043652216845657676,292.47,292.86,0.0
